"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","reactionTime","outcomeEstimate1","outcomeEstimate2","outcomeEstimate3"
28,35,30,50,90,0.41,0.24,0.35,50,0.24,52720,5,5,2
99,39,20,50,90,0.32,0.18,0.5,90,0.5,17266,2,3,9
44,7,15,70,80,0.47,0.28,0.25,15,0.47,15798,3,6,6
104,5,10,35,75,0.515,0.3,0.185,35,0.3,26280,3,6,3
34,34,30,50,90,0.43,0.23,0.34,30,0.43,41735,9,4,1
41,38,20,50,90,0.3,0.18,0.52,50,0.18,18946,2,9,1
72,34,30,50,90,0.43,0.23,0.34,30,0.43,19773,9,1,1
87,30,40,65,100,0.37,0.32,0.31,100,0.31,19957,1,6,8
43,7,15,70,80,0.47,0.28,0.25,15,0.47,25840,8,3,1
93,44,10,50,75,0.58,0.24,0.18,50,0.24,31700,3,6,8
53,10,20,45,70,0.43,0.39,0.18,20,0.43,10674,3,1,1
47,43,10,50,75,0.55,0.28,0.17,10,0.55,23109,9,1,1
106,16,25,60,100,0.45,0.37,0.18,25,0.45,43607,9,2,1
67,50,50,75,90,0.32,0.5,0.18,75,0.5,27098,1,4,6
122,33,45,60,90,0.5,0.3,0.2,90,0.2,30305,2,7,5
81,27,15,50,75,0.25,0.38,0.37,75,0.37,10793,5,8,9
22,48,55,70,85,0.25,0.52,0.23,85,0.23,39355,1,1,9
69,11,20,45,70,0.41,0.35,0.24,45,0.35,31333,1,5,9
56,26,15,50,75,0.24,0.4,0.36,50,0.4,35871,2,7,7
35,17,25,60,100,0.42,0.38,0.2,60,0.38,37315,4,8,1
50,9,15,70,80,0.45,0.29,0.26,80,0.26,31812,3,7,8
114,33,45,60,90,0.5,0.3,0.2,90,0.2,10179,4,4,9
2,26,15,50,75,0.24,0.4,0.36,50,0.4,29474,1,9,1
27,3,0,30,60,0.41,0.37,0.22,60,0.22,37045,1,7,8
76,15,30,50,95,0.3,0.3,0.4,95,0.4,54405,7,8,9
23,23,20,60,90,0.34,0.22,0.44,60,0.22,15613,1,9,1
96,33,45,60,90,0.5,0.3,0.2,90,0.2,45872,2,3,9
52,33,45,60,90,0.5,0.3,0.2,90,0.2,34225,6,8,9
95,40,0,40,95,0.27,0.38,0.35,0,0.27,15392,9,5,1
49,40,0,40,95,0.27,0.38,0.35,0,0.27,16726,9,1,1
15,44,10,50,75,0.58,0.24,0.18,50,0.24,29790,2,8,9
20,41,0,40,95,0.27,0.4,0.33,40,0.4,37434,1,9,1
88,20,25,45,80,0.26,0.32,0.42,45,0.32,13745,4,8,2
55,17,25,60,100,0.42,0.38,0.2,60,0.38,30028,9,4,1
58,34,30,50,90,0.43,0.23,0.34,30,0.43,122728,3,8,1
90,8,15,70,80,0.49,0.27,0.24,70,0.27,43382,1,6,5
105,22,20,60,90,0.32,0.16,0.52,20,0.32,15730,8,6,2
7,39,20,50,90,0.32,0.18,0.5,90,0.5,14668,1,3,9
46,18,25,60,100,0.43,0.35,0.22,100,0.22,17639,3,6,8
89,9,15,70,80,0.45,0.29,0.26,80,0.26,47477,3,7,6
63,40,0,40,95,0.27,0.38,0.35,0,0.27,31081,9,4,1
14,30,40,65,100,0.37,0.32,0.31,100,0.31,14032,1,2,9
4,34,30,50,90,0.43,0.23,0.34,30,0.43,34137,9,4,1
92,47,55,70,85,0.28,0.51,0.21,70,0.51,94645,2,9,8
84,6,10,35,75,0.5,0.32,0.18,75,0.18,20166,2,6,8
91,23,20,60,90,0.34,0.22,0.44,60,0.22,54330,5,8,1
119,17,25,60,100,0.42,0.38,0.2,60,0.38,7920,2,6,4
21,26,15,50,75,0.24,0.4,0.36,50,0.4,26314,4,8,6
116,33,45,60,90,0.5,0.3,0.2,90,0.2,37191,2,6,8
101,38,20,50,90,0.3,0.18,0.52,50,0.18,99805,7,4,1
100,29,40,65,100,0.38,0.34,0.28,65,0.34,23482,9,5,1
68,27,15,50,75,0.25,0.38,0.37,75,0.37,26537,1,2,9
73,46,55,70,85,0.26,0.53,0.21,55,0.26,35295,9,5,1
12,23,20,60,90,0.34,0.22,0.44,60,0.22,32689,2,9,1
77,47,55,70,85,0.28,0.51,0.21,70,0.51,46450,5,3,3
97,49,50,75,90,0.3,0.52,0.18,50,0.3,29763,9,3,1
74,3,0,30,60,0.41,0.37,0.22,60,0.22,24555,1,5,9
111,31,45,60,90,0.54,0.3,0.16,45,0.54,33104,9,1,1
102,22,20,60,90,0.32,0.16,0.52,20,0.32,23315,9,5,1
5,33,45,60,90,0.5,0.3,0.2,90,0.2,14872,6,2,2
113,42,0,40,95,0.26,0.42,0.32,95,0.32,66489,1,9,7
94,43,10,50,75,0.55,0.28,0.17,10,0.55,26531,9,2,1
42,44,10,50,75,0.58,0.24,0.18,50,0.24,22119,9,2,1
62,26,15,50,75,0.24,0.4,0.36,50,0.4,23384,9,7,6
18,47,55,70,85,0.28,0.51,0.21,70,0.51,40977,8,5,3
117,10,20,45,70,0.43,0.39,0.18,20,0.43,44032,9,7,1
79,21,25,45,80,0.3,0.3,0.4,80,0.4,27164,9,2,1
83,17,25,60,100,0.42,0.38,0.2,60,0.38,32443,1,9,1
30,40,0,40,95,0.27,0.38,0.35,0,0.27,19156,8,4,1
32,35,30,50,90,0.41,0.24,0.35,50,0.24,18124,2,8,3
31,43,10,50,75,0.55,0.28,0.17,10,0.55,17921,9,2,1
121,18,25,60,100,0.43,0.35,0.22,100,0.22,31163,1,1,9
70,45,10,50,75,0.6,0.24,0.16,75,0.16,81903,6,3,3
103,15,30,50,95,0.3,0.3,0.4,95,0.4,84814,3,8,7
110,16,25,60,100,0.45,0.37,0.18,25,0.45,12183,9,5,1
11,35,30,50,90,0.41,0.24,0.35,50,0.24,15750,7,4,1
45,15,30,50,95,0.3,0.3,0.4,95,0.4,34667,1,5,9
54,37,20,50,90,0.28,0.19,0.53,20,0.28,32821,7,2,1
86,39,20,50,90,0.32,0.18,0.5,90,0.5,3969,8,3,8
26,10,20,45,70,0.43,0.39,0.18,20,0.43,9058,7,9,2
118,42,0,40,95,0.26,0.42,0.32,95,0.32,25547,3,6,3
66,46,55,70,85,0.26,0.53,0.21,55,0.26,34634,7,1,3
51,38,20,50,90,0.3,0.18,0.52,50,0.18,31971,8,6,1
120,14,30,50,95,0.33,0.29,0.38,50,0.29,33545,9,5,1
78,50,50,75,90,0.32,0.5,0.18,75,0.5,52115,5,6,8
8,19,25,45,80,0.31,0.32,0.37,25,0.31,19724,6,2,1
57,14,30,50,95,0.33,0.29,0.38,50,0.29,25863,2,7,3
17,5,10,35,75,0.515,0.3,0.185,35,0.3,14683,1,6,9
108,1,0,30,60,0.38,0.36,0.26,0,0.38,18579,9,3,2
64,24,20,60,90,0.33,0.2,0.47,90,0.47,17721,1,3,9
25,27,15,50,75,0.25,0.38,0.37,75,0.37,27007,1,7,8
98,4,10,35,75,0.5,0.31,0.19,10,0.5,15701,9,3,1
19,33,45,60,90,0.5,0.3,0.2,90,0.2,29288,1,5,9
80,36,30,50,90,0.39,0.25,0.36,90,0.36,29418,4,6,8
75,37,20,50,90,0.28,0.19,0.53,20,0.28,27871,8,5,2
10,6,10,35,75,0.5,0.32,0.18,75,0.18,45679,2,5,8
9,4,10,35,75,0.5,0.31,0.19,10,0.5,14912,9,4,1
60,49,50,75,90,0.3,0.52,0.18,50,0.3,22736,6,8,2
109,17,25,60,100,0.42,0.38,0.2,60,0.38,16033,2,4,8
61,9,15,70,80,0.45,0.29,0.26,80,0.26,114060,1,9,9
65,39,20,50,90,0.32,0.18,0.5,90,0.5,35647,8,4,6
107,6,10,35,75,0.5,0.32,0.18,75,0.18,39617,2,6,7
40,49,50,75,90,0.3,0.52,0.18,50,0.3,27175,8,5,3
37,42,0,40,95,0.26,0.42,0.32,95,0.32,32090,1,5,8
3,27,15,50,75,0.25,0.38,0.37,75,0.37,16806,4,8,7
6,28,40,65,100,0.36,0.4,0.24,40,0.36,27613,6,4,1
82,20,25,45,80,0.26,0.32,0.42,45,0.32,29582,6,9,2
36,21,25,45,80,0.3,0.3,0.4,80,0.4,32644,9,4,2
85,40,0,40,95,0.27,0.38,0.35,0,0.27,17127,7,7,1
59,23,20,60,90,0.34,0.22,0.44,60,0.22,29591,4,9,1
1,14,30,50,95,0.33,0.29,0.38,50,0.29,10538,9,1,1
16,19,25,45,80,0.31,0.32,0.37,25,0.31,14293,9,3,1
112,2,0,30,60,0.42,0.31,0.27,30,0.31,40496,1,9,1
29,25,15,50,75,0.21,0.36,0.43,15,0.21,18716,8,4,2
115,34,30,50,90,0.43,0.23,0.34,30,0.43,16601,7,6,1
38,20,25,45,80,0.26,0.32,0.42,45,0.32,23404,8,6,3
39,5,10,35,75,0.515,0.3,0.185,35,0.3,27247,3,8,5
13,14,30,50,95,0.33,0.29,0.38,50,0.29,19612,7,6,1
33,22,20,60,90,0.32,0.16,0.52,20,0.32,16161,5,6,1
24,50,50,75,90,0.32,0.5,0.18,75,0.5,13933,8,7,2
48,46,55,70,85,0.26,0.53,0.21,55,0.26,37862,5,7,6
71,10,20,45,70,0.43,0.39,0.18,20,0.43,23086,3,8,2
28,17,25,60,100,0.42,0.38,0.2,60,0.38,28078,2,5,8
99,2,0,30,60,0.42,0.31,0.27,30,0.31,20215,9,4,1
44,20,25,45,80,0.26,0.32,0.42,45,0.32,63519,3,5,7
104,26,15,50,75,0.24,0.4,0.36,50,0.4,20268,2,6,2
34,13,30,50,95,0.31,0.25,0.44,30,0.31,29239,9,3,1
41,35,30,50,90,0.41,0.24,0.35,50,0.24,16565,7,9,1
72,36,30,50,90,0.39,0.25,0.36,90,0.36,14262,1,3,9
87,1,0,30,60,0.38,0.36,0.26,0,0.38,15923,9,1,1
43,1,0,30,60,0.38,0.36,0.26,0,0.38,22605,9,1,1
93,33,45,60,90,0.5,0.3,0.2,90,0.2,31755,8,4,2
53,39,20,50,90,0.32,0.18,0.5,90,0.5,11715,2,4,9
47,48,55,70,85,0.25,0.52,0.23,85,0.23,33012,4,4,9
106,21,25,45,80,0.3,0.3,0.4,80,0.4,41055,9,3,1
67,1,0,30,60,0.38,0.36,0.26,0,0.38,19404,7,3,1
122,44,10,50,75,0.58,0.24,0.18,50,0.24,11615,8,3,2
81,16,25,60,100,0.45,0.37,0.18,25,0.45,2394,6,2,1
22,20,25,45,80,0.26,0.32,0.42,45,0.32,53100,4,7,1
69,19,25,45,80,0.31,0.32,0.37,25,0.31,15904,9,1,1
56,40,0,40,95,0.27,0.38,0.35,0,0.27,42740,9,6,1
35,12,20,45,70,0.4,0.34,0.26,70,0.26,45989,2,8,1
50,4,10,35,75,0.5,0.31,0.19,10,0.5,19014,8,4,1
114,48,55,70,85,0.25,0.52,0.23,85,0.23,18153,5,9,3
2,37,20,50,90,0.28,0.19,0.53,20,0.28,29200,6,9,1
27,34,30,50,90,0.43,0.23,0.34,30,0.43,17418,9,4,1
76,8,15,70,80,0.49,0.27,0.24,70,0.27,41097,9,5,4
23,22,20,60,90,0.32,0.16,0.52,20,0.32,12413,9,2,2
96,5,10,35,75,0.515,0.3,0.185,35,0.3,54872,6,8,6
52,15,30,50,95,0.3,0.3,0.4,95,0.4,19591,3,5,9
95,16,25,60,100,0.45,0.37,0.18,25,0.45,20848,5,8,1
49,31,45,60,90,0.54,0.3,0.16,45,0.54,28955,8,5,1
15,16,25,60,100,0.45,0.37,0.18,25,0.45,61272,9,3,3
20,38,20,50,90,0.3,0.18,0.52,50,0.18,28313,7,8,2
88,10,20,45,70,0.43,0.39,0.18,20,0.43,9652,8,4,1
55,40,0,40,95,0.27,0.38,0.35,0,0.27,21422,9,3,1
58,2,0,30,60,0.42,0.31,0.27,30,0.31,47278,1,8,2
90,43,10,50,75,0.55,0.28,0.17,10,0.55,18511,8,5,3
105,26,15,50,75,0.24,0.4,0.36,50,0.4,21639,4,9,3
7,43,10,50,75,0.55,0.28,0.17,10,0.55,9237,9,1,1
46,34,30,50,90,0.43,0.23,0.34,30,0.43,11354,8,5,2
89,35,30,50,90,0.41,0.24,0.35,50,0.24,24463,2,7,9
63,47,55,70,85,0.28,0.51,0.21,70,0.51,28863,9,3,1
14,49,50,75,90,0.3,0.52,0.18,50,0.3,16290,3,6,1
4,35,30,50,90,0.41,0.24,0.35,50,0.24,28389,9,4,1
92,35,30,50,90,0.41,0.24,0.35,50,0.24,13904,9,8,1
84,36,30,50,90,0.39,0.25,0.36,90,0.36,12004,3,3,9
91,47,55,70,85,0.28,0.51,0.21,70,0.51,46305,2,9,3
119,49,50,75,90,0.3,0.52,0.18,50,0.3,8285,8,3,2
21,25,15,50,75,0.21,0.36,0.43,15,0.21,23313,8,4,1
116,36,30,50,90,0.39,0.25,0.36,90,0.36,33549,3,7,5
101,14,30,50,95,0.33,0.29,0.38,50,0.29,71077,4,7,1
100,21,25,45,80,0.3,0.3,0.4,80,0.4,23332,1,6,8
68,22,20,60,90,0.32,0.16,0.52,20,0.32,32293,9,3,1
73,18,25,60,100,0.43,0.35,0.22,100,0.22,10461,1,1,9
12,32,45,60,90,0.52,0.29,0.19,60,0.29,21862,1,1,9
77,14,30,50,95,0.33,0.29,0.38,50,0.29,18214,3,7,1
97,1,0,30,60,0.38,0.36,0.26,0,0.38,18013,9,5,1
74,34,30,50,90,0.43,0.23,0.34,30,0.43,59670,7,7,1
111,35,30,50,90,0.41,0.24,0.35,50,0.24,32168,1,9,3
102,35,30,50,90,0.41,0.24,0.35,50,0.24,25330,3,8,1
5,46,55,70,85,0.26,0.53,0.21,55,0.26,16326,9,3,2
113,35,30,50,90,0.41,0.24,0.35,50,0.24,61782,5,8,1
94,37,20,50,90,0.28,0.19,0.53,20,0.28,26138,8,2,1
42,1,0,30,60,0.38,0.36,0.26,0,0.38,31435,9,1,1
62,23,20,60,90,0.34,0.22,0.44,60,0.22,31033,9,6,8
18,27,15,50,75,0.25,0.38,0.37,75,0.37,27668,2,6,9
117,50,50,75,90,0.32,0.5,0.18,75,0.5,58050,8,6,1
79,46,55,70,85,0.26,0.53,0.21,55,0.26,19164,9,1,1
83,22,20,60,90,0.32,0.16,0.52,20,0.32,43002,9,1,1
30,2,0,30,60,0.42,0.31,0.27,30,0.31,15511,2,6,8
32,48,55,70,85,0.25,0.52,0.23,85,0.23,23679,6,3,7
31,32,45,60,90,0.52,0.29,0.19,60,0.29,20604,2,7,5
121,17,25,60,100,0.42,0.38,0.2,60,0.38,35215,9,9,1
70,43,10,50,75,0.55,0.28,0.17,10,0.55,64191,8,1,1
103,41,0,40,95,0.27,0.4,0.33,40,0.4,17006,1,9,6
110,27,15,50,75,0.25,0.38,0.37,75,0.37,16229,1,5,9
11,29,40,65,100,0.38,0.34,0.28,65,0.34,26700,6,5,1
45,47,55,70,85,0.28,0.51,0.21,70,0.51,41912,8,5,1
54,25,15,50,75,0.21,0.36,0.43,15,0.21,27332,4,6,2
86,25,15,50,75,0.21,0.36,0.43,15,0.21,13312,3,8,9
26,41,0,40,95,0.27,0.4,0.33,40,0.4,7563,6,8,8
118,48,55,70,85,0.25,0.52,0.23,85,0.23,11557,3,7,3
66,35,30,50,90,0.41,0.24,0.35,50,0.24,22573,2,5,8
51,29,40,65,100,0.38,0.34,0.28,65,0.34,42632,7,8,2
120,47,55,70,85,0.28,0.51,0.21,70,0.51,30376,1,9,4
78,19,25,45,80,0.31,0.32,0.37,25,0.31,16387,9,1,1
8,47,55,70,85,0.28,0.51,0.21,70,0.51,12391,6,1,1
57,31,45,60,90,0.54,0.3,0.16,45,0.54,12530,8,5,3
17,48,55,70,85,0.25,0.52,0.23,85,0.23,15326,2,2,9
108,34,30,50,90,0.43,0.23,0.34,30,0.43,24882,8,5,1
64,30,40,65,100,0.37,0.32,0.31,100,0.31,13301,1,4,9
25,22,20,60,90,0.32,0.16,0.52,20,0.32,29218,9,1,1
98,9,15,70,80,0.45,0.29,0.26,80,0.26,17401,2,7,6
19,12,20,45,70,0.4,0.34,0.26,70,0.26,34459,4,9,1
80,32,45,60,90,0.52,0.29,0.19,60,0.29,25852,4,9,7
75,45,10,50,75,0.6,0.24,0.16,75,0.16,25894,2,6,8
10,37,20,50,90,0.28,0.19,0.53,20,0.28,48148,9,5,1
9,11,20,45,70,0.41,0.35,0.24,45,0.35,11398,3,7,5
60,13,30,50,95,0.31,0.25,0.44,30,0.31,33298,6,5,7
109,49,50,75,90,0.3,0.52,0.18,50,0.3,27187,7,4,2
61,34,30,50,90,0.43,0.23,0.34,30,0.43,34402,4,9,7
65,34,30,50,90,0.43,0.23,0.34,30,0.43,25108,4,7,5
107,14,30,50,95,0.33,0.29,0.38,50,0.29,49736,6,6,2
40,21,25,45,80,0.3,0.3,0.4,80,0.4,17406,1,8,4
37,15,30,50,95,0.3,0.3,0.4,95,0.4,34199,5,8,5
3,19,25,45,80,0.31,0.32,0.37,25,0.31,21844,5,8,1
6,24,20,60,90,0.33,0.2,0.47,90,0.47,30768,3,6,9
82,32,45,60,90,0.52,0.29,0.19,60,0.29,27486,8,6,2
36,38,20,50,90,0.3,0.18,0.52,50,0.18,28632,9,3,1
85,37,20,50,90,0.28,0.19,0.53,20,0.28,22435,9,8,1
